policy_id,is_claim
ID58593,1
ID58594,1
ID58595,1
ID58596,1
ID58597,1
ID58598,0
ID58599,1
ID58600,1
ID58601,1
ID58602,1
ID58603,0
ID58604,0
ID58605,0
ID58606,1
ID58607,1
ID58608,1
ID58609,1
ID58610,0
ID58611,0
ID58612,1
ID58613,0
ID58614,1
ID58615,1
ID58616,1
ID58617,1
ID58618,0
ID58619,1
ID58620,1
ID58621,0
ID58622,1
ID58623,0
ID58624,1
ID58625,1
ID58626,1
ID58627,0
ID58628,1
ID58629,0
ID58630,1
ID58631,0
ID58632,0
ID58633,1
ID58634,1
ID58635,0
ID58636,1
ID58637,1
ID58638,1
ID58639,0
ID58640,1
ID58641,1
ID58642,1
ID58643,1
ID58644,1
ID58645,1
ID58646,1
ID58647,0
ID58648,0
ID58649,0
ID58650,1
ID58651,1
ID58652,0
ID58653,1
ID58654,1
ID58655,1
ID58656,1
ID58657,1
ID58658,1
ID58659,1
ID58660,1
ID58661,1
ID58662,1
ID58663,0
ID58664,1
ID58665,1
ID58666,1
ID58667,0
ID58668,1
ID58669,1
ID58670,1
ID58671,1
ID58672,1
ID58673,1
ID58674,0
ID58675,1
ID58676,1
ID58677,1
ID58678,1
ID58679,0
ID58680,1
ID58681,0
ID58682,1
ID58683,1
ID58684,1
ID58685,1
ID58686,1
ID58687,1
ID58688,0
ID58689,1
ID58690,1
ID58691,0
ID58692,1
ID58693,0
ID58694,0
ID58695,1
ID58696,1
ID58697,1
ID58698,1
ID58699,1
ID58700,1
ID58701,0
ID58702,0
ID58703,1
ID58704,1
ID58705,1
ID58706,1
ID58707,1
ID58708,0
ID58709,1
ID58710,1
ID58711,1
ID58712,1
ID58713,1
ID58714,1
ID58715,1
ID58716,1
ID58717,1
ID58718,1
ID58719,1
ID58720,0
ID58721,0
ID58722,1
ID58723,1
ID58724,0
ID58725,1
ID58726,1
ID58727,1
ID58728,1
ID58729,0
ID58730,0
ID58731,1
ID58732,1
ID58733,0
ID58734,1
ID58735,1
ID58736,0
ID58737,1
ID58738,1
ID58739,1
ID58740,1
ID58741,0
ID58742,0
ID58743,1
ID58744,1
ID58745,1
ID58746,0
ID58747,0
ID58748,0
ID58749,1
ID58750,1
ID58751,1
ID58752,1
ID58753,1
ID58754,1
ID58755,1
ID58756,1
ID58757,1
ID58758,1
ID58759,0
ID58760,0
ID58761,0
ID58762,0
ID58763,1
ID58764,1
ID58765,1
ID58766,0
ID58767,0
ID58768,1
ID58769,0
ID58770,1
ID58771,1
ID58772,0
ID58773,1
ID58774,0
ID58775,0
ID58776,0
ID58777,1
ID58778,1
ID58779,1
ID58780,0
ID58781,0
ID58782,1
ID58783,1
ID58784,1
ID58785,1
ID58786,1
ID58787,1
ID58788,1
ID58789,1
ID58790,1
ID58791,1
ID58792,1
ID58793,1
ID58794,1
ID58795,1
ID58796,1
ID58797,0
ID58798,1
ID58799,1
ID58800,1
ID58801,0
ID58802,1
ID58803,0
ID58804,1
ID58805,1
ID58806,1
ID58807,1
ID58808,1
ID58809,0
ID58810,1
ID58811,1
ID58812,1
ID58813,0
ID58814,1
ID58815,0
ID58816,1
ID58817,1
ID58818,0
ID58819,1
ID58820,1
ID58821,0
ID58822,1
ID58823,1
ID58824,1
ID58825,0
